Name;New_Measure_24-04-2023;
Description;;
Measure-Intervall;00:00:00.0040000;
;;

Time SN:540273 (S30X):P1;SN:540273 (S30X):P1 bar;Time SN:540273 (S30X):TOB1;SN:540273 (S30X):TOB1 °C;
24.04.2023 22:35:02.911;0,0168259;24.04.2023 22:35:02.943;12,9599609;
24.04.2023 22:35:02.975;0,0175653;24.04.2023 22:35:03.008;12,9599609;
24.04.2023 22:35:03.039;0,0181774;24.04.2023 22:35:03.072;12,9599609;
24.04.2023 22:35:03.103;0,0187634;24.04.2023 22:35:03.135;12,9599609;
24.04.2023 22:35:03.167;0,0193192;24.04.2023 22:35:03.199;12,9599609;
24.04.2023 22:35:03.231;0,0200472;24.04.2023 22:35:03.263;12,9599609;
24.04.2023 22:35:03.295;0,0207358;24.04.2023 22:35:03.327;12,9599609;
24.04.2023 22:35:03.359;0,0216364;24.04.2023 22:35:03.391;12,9599609;
24.04.2023 22:35:03.423;0,0221844;24.04.2023 22:35:03.456;12,9599609;
24.04.2023 22:35:03.487;0,0231986;24.04.2023 22:35:03.519;12,9599609;
24.04.2023 22:35:03.551;0,0238727;24.04.2023 22:35:03.583;12,9599609;
24.04.2023 22:35:03.615;0,024706;24.04.2023 22:35:03.647;12,9599609;
24.04.2023 22:35:03.679;0,0255087;24.04.2023 22:35:03.711;12,9599609;
24.04.2023 22:35:03.743;0,0262634;24.04.2023 22:35:03.775;12,9599609;
24.04.2023 22:35:03.807;0,0268592;24.04.2023 22:35:03.839;12,9599609;
24.04.2023 22:35:03.871;0,0277431;24.04.2023 22:35:03.903;12,9599609;
24.04.2023 22:35:03.935;0,0279956;24.04.2023 22:35:03.967;12,9599609;
24.04.2023 22:35:03.999;0,0283648;24.04.2023 22:35:04.031;12,9599609;
24.04.2023 22:35:04.063;0,0286994;24.04.2023 22:35:04.095;12,9599609;
24.04.2023 22:35:04.127;0,0289622;24.04.2023 22:35:04.159;12,9599609;
24.04.2023 22:35:04.191;0,0291686;24.04.2023 22:35:04.224;12,9599609;
24.04.2023 22:35:04.255;0,0294448;24.04.2023 22:35:04.286;12,9599609;
24.04.2023 22:35:04.318;0,0296278;24.04.2023 22:35:04.350;12,9599609;
24.04.2023 22:35:04.382;0,0298031;24.04.2023 22:35:04.415;12,9599609;
24.04.2023 22:35:04.446;0,0300338;24.04.2023 22:35:04.478;12,9599609;
24.04.2023 22:35:04.511;0,0302334;24.04.2023 22:35:04.542;12,9599609;
24.04.2023 22:35:04.574;0,030519;24.04.2023 22:35:04.607;12,9599609;
24.04.2023 22:35:04.638;0,0308506;24.04.2023 22:35:04.670;12,9599609;
24.04.2023 22:35:04.702;0,0312107;24.04.2023 22:35:04.734;12,9599609;
24.04.2023 22:35:04.766;0,0314946;24.04.2023 22:35:04.798;12,9599609;
24.04.2023 22:35:04.830;0,0318266;24.04.2023 22:35:04.862;12,9599609;
24.04.2023 22:35:04.894;0,0321478;24.04.2023 22:35:04.926;12,9599609;
24.04.2023 22:35:04.958;0,0324493;24.04.2023 22:35:04.990;12,9716797;
24.04.2023 22:35:05.022;0,0328207;24.04.2023 22:35:05.054;12,9716797;
24.04.2023 22:35:05.086;0,033168;24.04.2023 22:35:05.118;12,9716797;
24.04.2023 22:35:05.150;0,0335147;24.04.2023 22:35:05.182;12,9716797;
24.04.2023 22:35:05.214;0,0339156;24.04.2023 22:35:05.246;12,9716797;
24.04.2023 22:35:05.278;0,0343616;24.04.2023 22:35:05.310;12,9716797;
24.04.2023 22:35:05.342;0,0348114;24.04.2023 22:35:05.374;12,9716797;
24.04.2023 22:35:05.407;0,0352639;24.04.2023 22:35:05.438;12,9716797;
24.04.2023 22:35:05.470;0,0357289;24.04.2023 22:35:05.501;12,9716797;
24.04.2023 22:35:05.533;0,0362845;24.04.2023 22:35:05.566;12,9716797;
24.04.2023 22:35:05.597;0,0367444;24.04.2023 22:35:05.630;12,9716797;
24.04.2023 22:35:05.662;0,0371941;24.04.2023 22:35:05.693;12,9716797;
24.04.2023 22:35:05.725;0,0376577;24.04.2023 22:35:05.754;12,9716797;
24.04.2023 22:35:05.786;0,0381863;24.04.2023 22:35:05.818;12,9716797;
24.04.2023 22:35:05.851;0,0388628;24.04.2023 22:35:05.882;12,9716797;
24.04.2023 22:35:05.914;0,0395366;24.04.2023 22:35:05.946;12,9492188;
24.04.2023 22:35:05.978;0,040166;24.04.2023 22:35:06.010;12,9492188;
24.04.2023 22:35:06.042;0,0409848;24.04.2023 22:35:06.074;12,9492188;
24.04.2023 22:35:06.106;0,0414428;24.04.2023 22:35:06.139;12,9492188;
24.04.2023 22:35:06.186;0,0421197;24.04.2023 22:35:06.238;12,9492188;
24.04.2023 22:35:06.266;0,0431698;24.04.2023 22:35:06.298;12,9492188;
24.04.2023 22:35:06.330;0,0437492;24.04.2023 22:35:06.362;12,9492188;
24.04.2023 22:35:06.394;0,0443136;24.04.2023 22:35:06.426;12,9492188;
24.04.2023 22:35:06.458;0,0447823;24.04.2023 22:35:06.490;12,9492188;
24.04.2023 22:35:06.522;0,0453059;24.04.2023 22:35:06.554;12,9492188;
24.04.2023 22:35:06.586;0,0457396;24.04.2023 22:35:06.618;12,9492188;
24.04.2023 22:35:06.649;0,0461434;24.04.2023 22:35:06.681;12,9492188;
24.04.2023 22:35:06.714;0,0464465;24.04.2023 22:35:06.745;12,9492188;
24.04.2023 22:35:06.777;0,0467891;24.04.2023 22:35:06.810;12,9492188;
24.04.2023 22:35:06.841;0,0471094;24.04.2023 22:35:06.873;12,9492188;
24.04.2023 22:35:06.905;0,0473763;24.04.2023 22:35:06.937;12,9492188;
24.04.2023 22:35:06.969;0,0476209;24.04.2023 22:35:07.006;12,9492188;
24.04.2023 22:35:07.034;0,047951;24.04.2023 22:35:07.065;12,9492188;
24.04.2023 22:35:07.097;0,0482921;24.04.2023 22:35:07.129;12,9492188;
24.04.2023 22:35:07.161;0,0486749;24.04.2023 22:35:07.193;12,9492188;
24.04.2023 22:35:07.225;0,0489973;24.04.2023 22:35:07.259;12,9492188;
24.04.2023 22:35:07.290;0,04944;24.04.2023 22:35:07.321;12,9492188;
24.04.2023 22:35:07.353;0,0498043;24.04.2023 22:35:07.385;12,9492188;
24.04.2023 22:35:07.418;0,0501557;24.04.2023 22:35:07.449;12,9492188;
24.04.2023 22:35:07.481;0,0505192;24.04.2023 22:35:07.513;12,9492188;
24.04.2023 22:35:07.545;0,0509342;24.04.2023 22:35:07.577;12,9492188;
24.04.2023 22:35:07.609;0,0513809;24.04.2023 22:35:07.641;12,9492188;
24.04.2023 22:35:07.673;0,051769;24.04.2023 22:35:07.705;12,9492188;
24.04.2023 22:35:07.737;0,0523626;24.04.2023 22:35:07.769;12,9492188;
24.04.2023 22:35:07.801;0,0527882;24.04.2023 22:35:07.834;12,9492188;
24.04.2023 22:35:07.865;0,0532547;24.04.2023 22:35:07.897;12,9492188;
24.04.2023 22:35:07.929;0,0536513;24.04.2023 22:35:07.961;12,9724121;
24.04.2023 22:35:07.993;0,0541641;24.04.2023 22:35:08.024;12,9724121;
24.04.2023 22:35:08.057;0,0547326;24.04.2023 22:35:08.089;12,9724121;
24.04.2023 22:35:08.120;0,0553598;24.04.2023 22:35:08.153;12,9724121;
24.04.2023 22:35:08.185;0,0556381;24.04.2023 22:35:08.217;12,9724121;
24.04.2023 22:35:08.248;0,0560812;24.04.2023 22:35:08.280;12,9724121;
24.04.2023 22:35:08.312;0,0566635;24.04.2023 22:35:08.344;12,9724121;
24.04.2023 22:35:08.376;0,0570616;24.04.2023 22:35:08.408;12,9724121;
24.04.2023 22:35:08.440;0,0575839;24.04.2023 22:35:08.472;12,9724121;
24.04.2023 22:35:08.504;0,0581109;24.04.2023 22:35:08.536;12,9724121;
24.04.2023 22:35:08.568;0,0584845;24.04.2023 22:35:08.600;12,9724121;
24.04.2023 22:35:08.632;0,0588622;24.04.2023 22:35:08.664;12,9724121;
24.04.2023 22:35:08.696;0,059264;24.04.2023 22:35:08.728;12,9724121;
24.04.2023 22:35:08.760;0,059634;24.04.2023 22:35:08.792;12,9724121;
24.04.2023 22:35:08.824;0,0599926;24.04.2023 22:35:08.856;12,9724121;
24.04.2023 22:35:08.888;0,060363;24.04.2023 22:35:08.920;12,9724121;
24.04.2023 22:35:08.952;0,0608938;24.04.2023 22:35:08.984;12,9606934;
24.04.2023 22:35:09.016;0,0614419;24.04.2023 22:35:09.048;12,9606934;
24.04.2023 22:35:09.080;0,0621625;24.04.2023 22:35:09.112;12,9606934;
24.04.2023 22:35:09.144;0,0625583;24.04.2023 22:35:09.176;12,9606934;
24.04.2023 22:35:09.208;0,0634257;24.04.2023 22:35:09.240;12,9606934;
24.04.2023 22:35:09.271;0,0637877;24.04.2023 22:35:09.304;12,9606934;
24.04.2023 22:35:09.335;0,0643731;24.04.2023 22:35:09.367;12,9606934;
24.04.2023 22:35:09.399;0,065249;24.04.2023 22:35:09.431;12,9606934;
24.04.2023 22:35:09.463;0,0655931;24.04.2023 22:35:09.495;12,9606934;
24.04.2023 22:35:09.527;0,0659781;24.04.2023 22:35:09.560;12,9606934;
24.04.2023 22:35:09.591;0,0664871;24.04.2023 22:35:09.623;12,9606934;
24.04.2023 22:35:09.655;0,0669068;24.04.2023 22:35:09.687;12,9606934;
24.04.2023 22:35:09.719;0,067324;24.04.2023 22:35:09.751;12,9606934;
24.04.2023 22:35:09.783;0,0676548;24.04.2023 22:35:09.815;12,9606934;
24.04.2023 22:35:09.847;0,0679527;24.04.2023 22:35:09.879;12,9606934;
